Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,MMR,1829
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,Hib_MenC,1828
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,PCV,1825
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,MenB_booster,1788
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,24m_Eligible_Pop,1880
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,DTap_IPV_Hib,1793
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,MMR,1719
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,Hib_MenC,1721
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,PCV,1724
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,MenB_booster,1698
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,24m_Eligible_Pop,1981
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,DTap_IPV_Hib,1899
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,MMR,1843
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,Hib_MenC,1843
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,PCV,1844
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,MenB_booster,1791
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,24m_Eligible_Pop,2983
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,DTap_IPV_Hib,2927
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,MMR,2861
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,Hib_MenC,2878
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,PCV,2877
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,MenB_booster,2857
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,24m_Eligible_Pop,3588
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,DTap_IPV_Hib,3380
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,MMR,3226
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,Hib_MenC,3221
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,PCV,3230
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,MenB_booster,3163
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,24m,Number,24m_Eligible_Pop,3071
9a_9b_9c,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,24m,Number,DTap_IPV_Hib,2967
