CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
4,2,1,1,2,1,97,97,1,1,1,1,1,1,3,3,4,2,3,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1,1,1,2.8,2,3,23,1,2,2,1,13,3,3,1
4,2,2,2,2,1,97,97,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,1,1,2,2,3.0,2,2,55,3,2,2,1,13,2,3,2
4,2,4,1,2,97,97,97,2,2,2,2,1,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,1,2,3,2,1,1,2,1,3.0,2,3,75,3,2,1,1,13,3,3,6
4,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,3.0,2,2,25,1,2,2,2,13,2,3,4
4,2,3,1,2,1,97,97,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,3.0,2,3,59,3,2,1,2,13,2,3,2
4,3,1,1,2,2,97,97,2,2,2,2,98,1,2,3,4,2,98,4,3,2,98,98,98,98,2,1,1,1,3,98,1,3,3,3,0.0,99,2,25,1,1,1,1,13,2,3,1
4,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,3,1,1,1,1,1,3.2,2,2,38,2,1,3,2,13,1,3,1
4,4,3,1,98,2,97,97,2,2,2,2,2,1,2,4,4,2,4,4,3,3,3,3,3,3,3,2,2,3,97,3,1,2,2,2,1.8,1,4,65,3,2,1,1,13,3,3,6
4,3,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,3,3,1,1,1,3,2,3,2,1,1,1,3,2,1,1,1,1,3.2,2,2,31,2,2,2,1,13,2,3,2
5,2,2,1,2,1,1,97,2,2,1,1,1,1,2,3,4,2,2,2,98,98,98,98,2,98,1,1,1,1,1,3,1,1,2,2,0.0,99,1,29,1,2,2,2,13,1,4,1
5,4,4,1,2,1,2,97,2,2,2,2,98,1,2,98,98,2,1,98,98,98,1,1,2,1,2,1,1,98,98,98,1,3,3,3,3.6666666666666696,3,2,26,1,2,2,2,13,3,4,6
5,3,2,1,2,1,1,97,98,1,1,1,1,1,3,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,1,2,2,2,3.8,3,1,22,1,2,2,2,13,1,4,4
5,3,3,1,1,1,1,1,2,1,1,1,2,2,1,4,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3,1,1,2,3,3,2.6,2,2,38,2,1,2,1,13,2,4,3
5,2,2,2,2,1,1,97,1,1,1,1,1,2,3,3,98,2,3,98,3,98,98,98,3,98,3,2,2,2,1,3,1,1,1,1,0.0,99,4,27,1,1,2,1,13,3,4,2
5,2,1,1,2,1,1,97,2,2,1,1,98,98,2,1,2,1,1,1,98,98,1,2,98,98,2,1,1,1,3,2,1,1,2,1,3.6666666666666696,3,2,25,1,2,2,2,13,1,4,6
5,2,2,1,2,1,1,97,2,1,2,1,1,1,2,1,4,2,2,2,3,4,2,98,98,98,2,1,1,2,3,2,1,1,1,1,2.6666666666666696,2,2,22,1,1,2,1,13,1,4,5
5,3,3,1,1,1,2,2,2,2,2,2,1,2,2,98,98,3,2,4,3,3,2,98,2,98,1,1,2,2,1,3,1,1,3,3,2.6666666666666696,2,1,35,2,2,2,1,13,3,4,6
5,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3.6,3,1,39,2,2,3,2,13,1,4,6
5,3,2,1,1,1,1,97,2,1,1,1,1,1,2,1,98,2,2,98,98,2,2,2,2,2,1,1,1,2,3,1,1,1,1,1,3.2,2,1,28,1,2,2,2,13,1,4,6
5,4,2,1,2,1,1,97,1,1,1,1,1,1,1,1,98,1,2,2,1,1,2,98,1,1,1,1,1,1,1,1,1,1,1,2,3.75,3,1,29,1,1,2,2,13,3,4,1
5,2,1,1,2,1,1,97,2,1,1,1,1,2,2,1,2,2,2,3,2,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,4.0,3,1,25,1,2,2,2,13,2,4,6
